Year,Code,Constituency,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %
2015,E14000750,Holborn and St Pancras,London,Lab,Labour,"29,062",52.92%,"54,917",Lab,"17,048",31.04%
2015,E14000750,Holborn and St Pancras,London,C,Conservative,"12,014",21.88%,,,,
2015,E14000750,Holborn and St Pancras,London,Green,Green,"7,013",12.77%,,,,
2015,E14000750,Holborn and St Pancras,London,LD,Lib Dem,"3,555",6.47%,,,,
2015,E14000750,Holborn and St Pancras,London,UKIP,UKIP,"2,740",4.99%,,,,
2015,E14000750,Holborn and St Pancras,London,CSA,Cannabis is Safer than Alcohol,252,0.46%,,,,
2015,E14000750,Holborn and St Pancras,London,AWP,AWP,173,0.32%,,,,
2015,E14000750,Holborn and St Pancras,London,SEP,SEP,108,0.20%,,,,
2015,E14000751,Hornchurch and Upminster,London,C,Conservative,"27,051",48.97%,"55,236",C,"13,074",23.67%
2015,E14000751,Hornchurch and Upminster,London,UKIP,UKIP,"13,977",25.30%,,,,
2015,E14000751,Hornchurch and Upminster,London,Lab,Labour,"11,103",20.10%,,,,
2015,E14000751,Hornchurch and Upminster,London,LD,Lib Dem,"1,501",2.72%,,,,
2015,E14000751,Hornchurch and Upminster,London,Green,Green,"1,411",2.55%,,,,
2015,E14000751,Hornchurch and Upminster,London,BNP,BNP,193,0.35%,,,,
2015,E14000752,Hornsey and Wood Green,London,Lab,Labour,"29,417",50.91%,"57,785",Lab,"11,058",19.14%
2015,E14000752,Hornsey and Wood Green,London,LD,Lib Dem,"18,359",31.77%,,,,
2015,E14000752,Hornsey and Wood Green,London,C,Conservative,"5,347",9.25%,,,,
2015,E14000752,Hornsey and Wood Green,London,Green,Green,"3,146",5.44%,,,,
2015,E14000752,Hornsey and Wood Green,London,UKIP,UKIP,"1,271",2.20%,,,,
2015,E14000752,Hornsey and Wood Green,London,CPA,CPA,118,0.20%,,,,
2015,E14000752,Hornsey and Wood Green,London,WRP,WRP,82,0.14%,,,,
2015,E14000752,Hornsey and Wood Green,London,Hoi,Hoi,45,0.08%,,,,
2015,E14000759,Ilford North,London,Lab,Labour,"21,463",43.86%,"48,932",Lab,589,1.20%
2015,E14000759,Ilford North,London,C,Conservative,"20,874",42.66%,,,,
2015,E14000759,Ilford North,London,UKIP,UKIP,"4,355",8.90%,,,,
2015,E14000759,Ilford North,London,LD,Lib Dem,"1,130",2.31%,,,,
2015,E14000759,Ilford North,London,Green,Green,"1,023",2.09%,,,,
2015,E14000759,Ilford North,London,Ind,Independent,87,0.18%,,,,
2015,E14000760,Ilford South,London,Lab,Labour,"33,232",64.02%,"51,912",Lab,"19,777",38.10%
2015,E14000760,Ilford South,London,C,Conservative,"13,455",25.92%,,,,
2015,E14000760,Ilford South,London,UKIP,UKIP,"2,705",5.21%,,,,
2015,E14000760,Ilford South,London,Green,Green,"1,506",2.90%,,,,
2015,E14000760,Ilford South,London,LD,Lib Dem,"1,014",1.95%,,,,
2015,E14000763,Islington North,London,Lab,Labour,"29,659",60.24%,"49,234",Lab,"21,194",43.05%
2015,E14000763,Islington North,London,C,Conservative,"8,465",17.19%,,,,
2015,E14000763,Islington North,London,Green,Green,"5,043",10.24%,,,,
2015,E14000763,Islington North,London,LD,Lib Dem,"3,984",8.09%,,,,
2015,E14000763,Islington North,London,UKIP,UKIP,"1,971",4.00%,,,,
2015,E14000763,Islington North,London,SPGB,SPGB,112,0.23%,,,,
2015,E14000764,Islington South and Finsbury,London,Lab,Labour,"22,547",50.93%,"44,270",Lab,"12,708",28.71%
2015,E14000764,Islington South and Finsbury,London,C,Conservative,"9,839",22.22%,,,,
2015,E14000764,Islington South and Finsbury,London,LD,Lib Dem,"4,829",10.91%,,,,
2015,E14000764,Islington South and Finsbury,London,UKIP,UKIP,"3,375",7.62%,,,,
2015,E14000764,Islington South and Finsbury,London,Green,Green,"3,371",7.61%,,,,
2015,E14000764,Islington South and Finsbury,London,CSA,Cannabis is Safer than Alcohol,309,0.70%,,,,
2015,E14000768,Kensington,London,C,Conservative,"18,199",52.25%,"34,828",C,"7,361",21.14%
2015,E14000768,Kensington,London,Lab,Labour,"10,838",31.12%,,,,
2015,E14000768,Kensington,London,LD,Lib Dem,"1,962",5.63%,,,,
2015,E14000768,Kensington,London,Green,Green,"1,765",5.07%,,,,
2015,E14000768,Kensington,London,UKIP,UKIP,"1,557",4.47%,,,,
2015,E14000768,Kensington,London,CSA,Cannabis is Safer than Alcohol,211,0.61%,,,,
2015,E14000768,Kensington,London,AWP,AWP,158,0.45%,,,,
2015,E14000768,Kensington,London,Green Soc,Green Soc,115,0.33%,,,,
2015,E14000768,Kensington,London,New IC,New IC,23,0.07%,,,,
2015,E14000770,Kingston and Surbiton,London,C,Conservative,"23,249",39.24%,"59,253",C,"2,834",4.78%
2015,E14000770,Kingston and Surbiton,London,LD,Lib Dem,"20,415",34.45%,,,,
2015,E14000770,Kingston and Surbiton,London,Lab,Labour,"8,574",14.47%,,,,
2015,E14000770,Kingston and Surbiton,London,UKIP,UKIP,"4,321",7.29%,,,,
2015,E14000770,Kingston and Surbiton,London,Green,Green,"2,322",3.92%,,,,
2015,E14000770,Kingston and Surbiton,London,CPA,CPA,198,0.33%,,,,
2015,E14000770,Kingston and Surbiton,London,TUSC,Trade Unionist and Socialist Coalition,174,0.29%,,,,
2015,E14000787,Lewisham East,London,Lab,Labour,"23,907",55.70%,"42,923",Lab,"14,333",33.39%
2015,E14000787,Lewisham East,London,C,Conservative,"9,574",22.31%,,,,
2015,E14000787,Lewisham East,London,UKIP,UKIP,"3,886",9.05%,,,,
2015,E14000787,Lewisham East,London,LD,Lib Dem,"2,455",5.72%,,,,
2015,E14000787,Lewisham East,London,Green,Green,"2,429",5.66%,,,,
2015,E14000787,Lewisham East,London,PBP,People Before Profit,390,0.91%,,,,
2015,E14000787,Lewisham East,London,CPA,CPA,282,0.66%,,,,
2015,E14000788,Lewisham West and Penge,London,Lab,Labour,"24,347",50.59%,"48,125",Lab,"12,714",26.42%
2015,E14000788,Lewisham West and Penge,London,C,Conservative,"11,633",24.17%,,,,
2015,E14000788,Lewisham West and Penge,London,Green,Green,"4,077",8.47%,,,,
2015,E14000788,Lewisham West and Penge,London,UKIP,UKIP,"3,764",7.82%,,,,
2015,E14000788,Lewisham West and Penge,London,LD,Lib Dem,"3,709",7.71%,,,,
2015,E14000788,Lewisham West and Penge,London,TUSC,Trade Unionist and Socialist Coalition,391,0.81%,,,,
2015,E14000788,Lewisham West and Penge,London,Ind,Independent,160,0.33%,,,,
2015,E14000788,Lewisham West and Penge,London,Lib GB,Lib GB,44,0.09%,,,,
2015,E14000789,"Lewisham, Deptford",London,Lab,Labour,"28,572",60.25%,"47,426",Lab,"21,516",45.37%
2015,E14000789,"Lewisham, Deptford",London,C,Conservative,"7,056",14.88%,,,,
2015,E14000789,"Lewisham, Deptford",London,Green,Green,"5,932",12.51%,,,,
2015,E14000789,"Lewisham, Deptford",London,LD,Lib Dem,"2,497",5.27%,,,,
2015,E14000789,"Lewisham, Deptford",London,UKIP,UKIP,"2,013",4.24%,,,,
2015,E14000789,"Lewisham, Deptford",London,PBP,People Before Profit,666,1.40%,,,,
2015,E14000789,"Lewisham, Deptford",London,CPA,CPA,300,0.63%,,,,
2015,E14000789,"Lewisham, Deptford",London,TUSC,Trade Unionist and Socialist Coalition,286,0.60%,,,,
2015,E14000789,"Lewisham, Deptford",London,Dem Ref,Dem Ref,74,0.16%,,,,
2015,E14000789,"Lewisham, Deptford",London,ND,ND,30,0.06%,,,,
2015,E14000790,Leyton and Wanstead,London,Lab,Labour,"23,858",58.61%,"40,705",Lab,"14,919",36.65%
2015,E14000790,Leyton and Wanstead,London,C,Conservative,"8,939",21.96%,,,,
2015,E14000790,Leyton and Wanstead,London,Green,Green,"2,974",7.31%,,,,
2015,E14000790,Leyton and Wanstead,London,UKIP,UKIP,"2,341",5.75%,,,,
2015,E14000790,Leyton and Wanstead,London,LD,Lib Dem,"2,304",5.66%,,,,
2015,E14000790,Leyton and Wanstead,London,Ind,Independent,289,0.71%,,,,
2015,E14000823,Mitcham and Morden,London,Lab,Labour,"27,380",60.65%,"45,142",Lab,"16,922",37.45%
2015,E14000823,Mitcham and Morden,London,C,Conservative,"10,458",23.17%,,,,
2015,E14000823,Mitcham and Morden,London,UKIP,UKIP,"4,287",9.50%,,,,
2015,E14000823,Mitcham and Morden,London,Green,Green,"1,422",3.15%,,,,
2015,E14000823,Mitcham and Morden,London,LD,Lib Dem,"1,378",3.05%,,,,
2015,E14000823,Mitcham and Morden,London,CPA,CPA,217,0.48%,,,,
2015,E14000869,Old Bexley and Sidcup,London,C,Conservative,"24,682",52.80%,"46,748",C,"15,803",33.80%
2015,E14000869,Old Bexley and Sidcup,London,Lab,Labour,"8,879",18.99%,,,,
2015,E14000869,Old Bexley and Sidcup,London,UKIP,UKIP,"8,528",18.24%,,,,
2015,E14000869,Old Bexley and Sidcup,London,LD,Lib Dem,"1,644",3.52%,,,,
2015,E14000869,Old Bexley and Sidcup,London,Green,Green,"1,336",2.86%,,,,
2015,E14000869,Old Bexley and Sidcup,London,NHAP,National Health Action Party,"1,216",2.60%,,,,
2015,E14000869,Old Bexley and Sidcup,London,Ch P,Ch P,245,0.52%,,,,
2015,E14000869,Old Bexley and Sidcup,London,BNP,BNP,218,0.47%,,,,
2015,E14000872,Orpington,London,C,Conservative,"28,152",57.42%,"49,032",C,"19,979",40.75%
2015,E14000872,Orpington,London,UKIP,UKIP,"8,173",16.67%,,,,
2015,E14000872,Orpington,London,Lab,Labour,"7,645",15.59%,,,,
2015,E14000872,Orpington,London,LD,Lib Dem,"3,330",6.79%,,,,
2015,E14000872,Orpington,London,Green,Green,"1,732",3.53%,,,,
2015,E14000882,Poplar and Limehouse,London,Lab,Labour,"29,886",58.55%,"51,044",Lab,"16,924",33.16%
2015,E14000882,Poplar and Limehouse,London,C,Conservative,"12,962",25.39%,,,,
2015,E14000882,Poplar and Limehouse,London,UKIP,UKIP,"3,128",6.13%,,,,
2015,E14000882,Poplar and Limehouse,London,Green,Green,"2,463",4.83%,,,,
2015,E14000882,Poplar and Limehouse,London,LD,Lib Dem,"2,149",4.21%,,,,
2015,E14000882,Poplar and Limehouse,London,TUSC,Trade Unionist and Socialist Coalition,367,0.72%,,,,
2015,E14000882,Poplar and Limehouse,London,RFAC,Red Flag Anti-Corruption,89,0.17%,,,,
2015,E14000887,Putney,London,C,Conservative,"23,018",53.76%,"42,813",C,"10,180",23.78%
2015,E14000887,Putney,London,Lab,Labour,"12,838",29.99%,,,,
2015,E14000887,Putney,London,LD,Lib Dem,"2,717",6.35%,,,,
2015,E14000887,Putney,London,Green,Green,"2,067",4.83%,,,,
2015,E14000887,Putney,London,UKIP,UKIP,"1,989",4.65%,,,,
2015,E14000887,Putney,London,AWP,AWP,184,0.43%,,,,
2015,E14000896,Richmond Park,London,C,Conservative,"34,404",58.21%,"59,101",C,"23,015",38.94%
2015,E14000896,Richmond Park,London,LD,Lib Dem,"11,389",19.27%,,,,
2015,E14000896,Richmond Park,London,Lab,Labour,"7,296",12.34%,,,,
2015,E14000896,Richmond Park,London,Green,Green,"3,548",6.00%,,,,
2015,E14000896,Richmond Park,London,UKIP,UKIP,"2,464",4.17%,,,,
2015,E14000900,Romford,London,C,Conservative,"25,067",50.97%,"49,178",C,"13,859",28.18%
2015,E14000900,Romford,London,UKIP,UKIP,"11,208",22.79%,,,,
2015,E14000900,Romford,London,Lab,Labour,"10,268",20.88%,,,,
2015,E14000900,Romford,London,LD,Lib Dem,"1,413",2.87%,,,,
2015,E14000900,Romford,London,Green,Green,"1,222",2.48%,,,,
2015,E14000906,"Ruislip, Northwood and Pinner",London,C,Conservative,"30,521",59.59%,"51,222",C,"20,224",39.48%
2015,E14000906,"Ruislip, Northwood and Pinner",London,Lab,Labour,"10,297",20.10%,,,,
2015,E14000906,"Ruislip, Northwood and Pinner",London,UKIP,UKIP,"5,598",10.93%,,,,
2015,E14000906,"Ruislip, Northwood and Pinner",London,LD,Lib Dem,"2,537",4.95%,,,,
2015,E14000906,"Ruislip, Northwood and Pinner",London,Green,Green,"1,801",3.52%,,,,
2015,E14000906,"Ruislip, Northwood and Pinner",London,TUSC,Trade Unionist and Socialist Coalition,302,0.59%,,,,
2015,E14000906,"Ruislip, Northwood and Pinner",London,Nat Lib,Nat Lib,166,0.32%,,,,
2015,E14000978,Streatham,London,Lab,Labour,"26,474",53.02%,"49,933",Lab,"13,934",27.91%
2015,E14000978,Streatham,London,C,Conservative,"12,540",25.11%,,,,
2015,E14000978,Streatham,London,LD,Lib Dem,"4,491",8.99%,,,,
2015,E14000978,Streatham,London,Green,Green,"4,421",8.85%,,,,
2015,E14000978,Streatham,London,UKIP,UKIP,"1,602",3.21%,,,,
2015,E14000978,Streatham,London,CSA,Cannabis is Safer than Alcohol,192,0.38%,,,,
2015,E14000978,Streatham,London,TUSC,Trade Unionist and Socialist Coalition,164,0.33%,,,,
2015,E14000978,Streatham,London,WRP,WRP,49,0.10%,,,,
2015,E14000984,Sutton and Cheam,London,C,Conservative,"20,732",41.54%,"49,905",C,"3,921",7.86%
2015,E14000984,Sutton and Cheam,London,LD,Lib Dem,"16,811",33.69%,,,,
2015,E14000984,Sutton and Cheam,London,Lab,Labour,"5,546",11.11%,,,,
2015,E14000984,Sutton and Cheam,London,UKIP,UKIP,"5,341",10.70%,,,,
2015,E14000984,Sutton and Cheam,London,Green,Green,"1,051",2.11%,,,,
2015,E14000984,Sutton and Cheam,London,NHAP,National Health Action Party,345,0.69%,,,,
2015,E14000984,Sutton and Cheam,London,TUSC,Trade Unionist and Socialist Coalition,79,0.16%,,,,
2015,E14000998,Tooting,London,Lab,Labour,"25,263",47.19%,"53,529",Lab,"2,842",5.31%
2015,E14000998,Tooting,London,C,Conservative,"22,421",41.89%,,,,
2015,E14000998,Tooting,London,Green,Green,"2,201",4.11%,,,,
2015,E14000998,Tooting,London,LD,Lib Dem,"2,107",3.94%,,,,
2015,E14000998,Tooting,London,UKIP,UKIP,"1,537",2.87%,,,,
2015,E14001002,Tottenham,London,Lab,Labour,"28,654",67.33%,"42,558",Lab,"23,564",55.37%
2015,E14001002,Tottenham,London,C,Conservative,"5,090",11.96%,,,,
2015,E14001002,Tottenham,London,Green,Green,"3,931",9.24%,,,,
2015,E14001002,Tottenham,London,LD,Lib Dem,"1,756",4.13%,,,,
2015,E14001002,Tottenham,London,UKIP,UKIP,"1,512",3.55%,,,,
2015,E14001002,Tottenham,London,TUSC,Trade Unionist and Socialist Coalition,"1,324",3.11%,,,,
2015,E14001002,Tottenham,London,Peace,Peace,291,0.68%,,,,
2015,E14001005,Twickenham,London,C,Conservative,"25,580",41.26%,"62,004",C,"2,017",3.25%
2015,E14001005,Twickenham,London,LD,Lib Dem,"23,563",38.00%,,,,
2015,E14001005,Twickenham,London,Lab,Labour,"7,129",11.50%,,,,
2015,E14001005,Twickenham,London,UKIP,UKIP,"3,069",4.95%,,,,
2015,E14001005,Twickenham,London,Green,Green,"2,463",3.97%,,,,
2015,E14001005,Twickenham,London,Christian,Christian,174,0.28%,,,,
2015,E14001005,Twickenham,London,Magna Carta,Magna Carta,26,0.04%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,C,Conservative,"22,511",50.24%,"44,811",C,"10,695",23.72%
2015,E14001007,Uxbridge and South Ruislip,London,Lab,Labour,"11,816",26.37%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,UKIP,UKIP,"6,346",14.16%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,LD,Lib Dem,"2,215",4.94%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Green,Green,"1,414",3.16%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,TUSC,Trade Unionist and Socialist Coalition,180,0.40%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Ind,Independent,84,0.19%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Loony,Loony,72,0.16%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Community,Community,52,0.12%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Eccentric,Eccentric,50,0.11%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Ind,Independent,39,0.09%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,Realist,Realist,18,0.04%,,,,
2015,E14001007,Uxbridge and South Ruislip,London,ND,ND,14,0.03%,,,,
2015,E14001008,Vauxhall,London,Lab,Labour,"25,778",53.77%,"47,941",Lab,"12,708",26.51%
2015,E14001008,Vauxhall,London,C,Conservative,"13,070",27.26%,,,,
2015,E14001008,Vauxhall,London,Green,Green,"3,658",7.63%,,,,
2015,E14001008,Vauxhall,London,LD,Lib Dem,"3,312",6.91%,,,,
2015,E14001008,Vauxhall,London,UKIP,UKIP,"1,385",2.89%,,,,
2015,E14001008,Vauxhall,London,Pirate,Pirate,201,0.42%,,,,
2015,E14001008,Vauxhall,London,LU,LU,188,0.39%,,,,
2015,E14001008,Vauxhall,London,CSA,Cannabis is Safer than Alcohol,164,0.34%,,,,
2015,E14001008,Vauxhall,London,Whig,Whig,103,0.21%,,,,
2015,E14001008,Vauxhall,London,SPGB,SPGB,82,0.17%,,,,
2015,E14001013,Walthamstow,London,Lab,Labour,"28,779",68.86%,"41,796",Lab,"23,195",55.34%
2015,E14001013,Walthamstow,London,C,Conservative,"5,584",13.36%,,,,
2015,E14001013,Walthamstow,London,Green,Green,"2,661",6.37%,,,,
2015,E14001013,Walthamstow,London,UKIP,UKIP,"2,507",6.00%,,,,
2015,E14001013,Walthamstow,London,LD,Lib Dem,"1,661",3.97%,,,,
2015,E14001013,Walthamstow,London,TUSC,Trade Unionist and Socialist Coalition,394,0.94%,,,,
2015,E14001013,Walthamstow,London,ND,ND,129,0.31%,,,,
2015,E14001013,Walthamstow,London,WRP,WRP,81,0.19%,,,,
2015,E14001032,West Ham,London,Lab,Labour,"36,132",68.44%,"52,793",Lab,"27,986",53.01%
2015,E14001032,West Ham,London,C,Conservative,"8,146",15.43%,,,,
2015,E14001032,West Ham,London,UKIP,UKIP,"3,950",7.48%,,,,
2015,E14001032,West Ham,London,Green,Green,"2,651",5.02%,,,,
2015,E14001032,West Ham,London,LD,Lib Dem,"1,430",2.71%,,,,
2015,E14001032,West Ham,London,CPA,CPA,369,0.70%,,,,
2015,E14001032,West Ham,London,Community,Community,115,0.22%,,,,
2015,E14001036,Westminster North,London,Lab,Labour,"18,504",46.83%,"39,514",Lab,"1,977",5.00%
2015,E14001036,Westminster North,London,C,Conservative,"16,527",41.83%,,,,
2015,E14001036,Westminster North,London,UKIP,UKIP,"1,489",3.77%,,,,
2015,E14001036,Westminster North,London,LD,Lib Dem,"1,457",3.69%,,,,
2015,E14001036,Westminster North,London,Green,Green,"1,322",3.35%,,,,
2015,E14001036,Westminster North,London,Ch P,Ch P,152,0.38%,,,,
2015,E14001036,Westminster North,London,Ind,Independent,63,0.16%,,,,
2015,E14001040,Wimbledon,London,C,Conservative,"25,225",52.09%,"48,422",C,"12,619",26.06%
2015,E14001040,Wimbledon,London,Lab,Labour,"12,606",26.03%,,,,
2015,E14001040,Wimbledon,London,LD,Lib Dem,"6,129",12.66%,,,,
2015,E14001040,Wimbledon,London,UKIP,UKIP,"2,476",5.11%,,,,
2015,E14001040,Wimbledon,London,Green,Green,"1,986",4.10%,,,,
2010,E14000540,Barking,London,Lab,Labour,"24,628",54.31%,45343,Lab,"16,555",36.51%
2010,E14000540,Barking,London,C,Conservative,"8,073",17.80%,,,,
2010,E14000540,Barking,London,BNP,BNP,"6,620",14.60%,,,,
2010,E14000540,Barking,London,LD,Lib Dem,"3,719",8.20%,,,,
2010,E14000540,Barking,London,UKIP,UKIP,"1,300",2.87%,,,,
2010,E14000540,Barking,London,Ch P,Ch P,482,1.06%,,,,
2010,E14000540,Barking,London,Green,Green,317,0.70%,,,,
2010,E14000540,Barking,London,Loony,Loony,82,0.18%,,,,
2010,E14000540,Barking,London,Ind,Independent,77,0.17%,,,,
2010,E14000540,Barking,London,RP,RP,45,0.10%,,,,
2010,E14000549,Battersea,London,C,Conservative,"23,103",47.35%,48792,C,"5,977",12.25%
2010,E14000549,Battersea,London,Lab,Labour,"17,126",35.10%,,,,
2010,E14000549,Battersea,London,LD,Lib Dem,"7,176",14.71%,,,,
2010,E14000549,Battersea,London,Green,Green,559,1.15%,,,,
2010,E14000549,Battersea,London,UKIP,UKIP,505,1.04%,,,,
2010,E14000549,Battersea,London,Battersea,Battersea,168,0.34%,,,,
2010,E14000549,Battersea,London,Ind,Independent,155,0.32%,,,,
2010,E14000551,Beckenham,London,C,Conservative,"27,597",57.87%,47686,C,"17,784",37.29%
2010,E14000551,Beckenham,London,LD,Lib Dem,"9,813",20.58%,,,,
2010,E14000551,Beckenham,London,Lab,Labour,"6,893",14.45%,,,,
2010,E14000551,Beckenham,London,UKIP,UKIP,"1,551",3.25%,,,,
2010,E14000551,Beckenham,London,BNP,BNP,"1,001",2.10%,,,,
2010,E14000551,Beckenham,London,Green,Green,608,1.28%,,,,
2010,E14000551,Beckenham,London,Eng Dem,Eng Dem,223,0.47%,,,,
2010,E14000553,Bermondsey and Old Southwark,London,LD,Lib Dem,"21,590",48.35%,44651,LD,"8,530",19.10%
2010,E14000553,Bermondsey and Old Southwark,London,Lab,Labour,"13,060",29.25%,,,,
2010,E14000553,Bermondsey and Old Southwark,London,C,Conservative,"7,638",17.11%,,,,
2010,E14000553,Bermondsey and Old Southwark,London,BNP,BNP,"1,370",3.07%,,,,
2010,E14000553,Bermondsey and Old Southwark,London,Green,Green,718,1.61%,,,,
2010,E14000553,Bermondsey and Old Southwark,London,Ind,Independent,155,0.35%,,,,
2010,E14000553,Bermondsey and Old Southwark,London,ND,ND,120,0.27%,,,,
2010,E14000555,Bethnal Green and Bow,London,Lab,Labour,"21,784",42.94%,50728,Lab,"11,574",22.82%
2010,E14000555,Bethnal Green and Bow,London,LD,Lib Dem,"10,210",20.13%,,,,
2010,E14000555,Bethnal Green and Bow,London,Respect,Respect,"8,532",16.82%,,,,
2010,E14000555,Bethnal Green and Bow,London,C,Conservative,"7,071",13.94%,,,,
2010,E14000555,Bethnal Green and Bow,London,BNP,BNP,"1,405",2.77%,,,,
2010,E14000555,Bethnal Green and Bow,London,Green,Green,856,1.69%,,,,
2010,E14000555,Bethnal Green and Bow,London,Ind,Independent,277,0.55%,,,,
2010,E14000555,Bethnal Green and Bow,London,Pirate,Pirate,213,0.42%,,,,
2010,E14000555,Bethnal Green and Bow,London,Voice,Voice,209,0.41%,,,,
2010,E14000555,Bethnal Green and Bow,London,Ind,Independent,100,0.20%,,,,
2010,E14000555,Bethnal Green and Bow,London,Ind,Independent,71,0.14%,,,,
2010,E14000558,Bexleyheath and Crayford,London,C,Conservative,"21,794",50.47%,43182,C,"10,344",23.95%
2010,E14000558,Bexleyheath and Crayford,London,Lab,Labour,"11,450",26.52%,,,,
2010,E14000558,Bexleyheath and Crayford,London,LD,Lib Dem,"5,502",12.74%,,,,
2010,E14000558,Bexleyheath and Crayford,London,BNP,BNP,"2,042",4.73%,,,,
2010,E14000558,Bexleyheath and Crayford,London,UKIP,UKIP,"1,557",3.61%,,,,
2010,E14000558,Bexleyheath and Crayford,London,Eng Dem,Eng Dem,466,1.08%,,,,
2010,E14000558,Bexleyheath and Crayford,London,Green,Green,371,0.86%,,,,
2010,E14000591,Brent Central,London,LD,Lib Dem,"20,026",44.18%,45324,LD,"1,345",2.97%
2010,E14000591,Brent Central,London,Lab,Labour,"18,681",41.22%,,,,
2010,E14000591,Brent Central,London,C,Conservative,"5,068",11.18%,,,,
2010,E14000591,Brent Central,London,Green,Green,668,1.47%,,,,
2010,E14000591,Brent Central,London,Ch P,Ch P,488,1.08%,,,,
2010,E14000591,Brent Central,London,Respect,Respect,230,0.51%,,,,
2010,E14000591,Brent Central,London,Ind,Independent,163,0.36%,,,,
2010,E14000592,Brent North,London,Lab,Labour,"24,514",46.87%,52298,Lab,"8,028",15.35%
2010,E14000592,Brent North,London,C,Conservative,"16,486",31.52%,,,,
2010,E14000592,Brent North,London,LD,Lib Dem,"8,879",16.98%,,,,
2010,E14000592,Brent North,London,Ind,Independent,734,1.40%,,,,
2010,E14000592,Brent North,London,Green,Green,725,1.39%,,,,
2010,E14000592,Brent North,London,UKIP,UKIP,380,0.73%,,,,
2010,E14000592,Brent North,London,Ind,Independent,333,0.64%,,,,
2010,E14000592,Brent North,London,Eng Dem,Eng Dem,247,0.47%,,,,
2010,E14000593,Brentford and Isleworth,London,C,Conservative,"20,022",37.24%,53765,C,"1,958",3.64%
2010,E14000593,Brentford and Isleworth,London,Lab,Labour,"18,064",33.60%,,,,
2010,E14000593,Brentford and Isleworth,London,LD,Lib Dem,"12,718",23.65%,,,,
2010,E14000593,Brentford and Isleworth,London,UKIP,UKIP,863,1.61%,,,,
2010,E14000593,Brentford and Isleworth,London,Green,Green,787,1.46%,,,,
2010,E14000593,Brentford and Isleworth,London,BNP,BNP,704,1.31%,,,,
2010,E14000593,Brentford and Isleworth,London,Eng Dem,Eng Dem,230,0.43%,,,,
2010,E14000593,Brentford and Isleworth,London,Ch P,Ch P,210,0.39%,,,,
2010,E14000593,Brentford and Isleworth,London,CPA,CPA,99,0.18%,,,,
2010,E14000593,Brentford and Isleworth,London,Ind,Independent,68,0.13%,,,,
2010,E14000604,Bromley and Chislehurst,London,C,Conservative,"23,569",53.52%,44037,C,"13,900",31.56%
2010,E14000604,Bromley and Chislehurst,London,LD,Lib Dem,"9,669",21.96%,,,,
2010,E14000604,Bromley and Chislehurst,London,Lab,Labour,"7,295",16.57%,,,,
2010,E14000604,Bromley and Chislehurst,London,UKIP,UKIP,"1,451",3.29%,,,,
2010,E14000604,Bromley and Chislehurst,London,BNP,BNP,"1,070",2.43%,,,,
2010,E14000604,Bromley and Chislehurst,London,Green,Green,607,1.38%,,,,
2010,E14000604,Bromley and Chislehurst,London,Eng Dem,Eng Dem,376,0.85%,,,,
2010,E14000615,Camberwell and Peckham,London,Lab,Labour,"27,619",59.19%,46659,Lab,"17,187",36.84%
2010,E14000615,Camberwell and Peckham,London,LD,Lib Dem,"10,432",22.36%,,,,
2010,E14000615,Camberwell and Peckham,London,C,Conservative,"6,080",13.03%,,,,
2010,E14000615,Camberwell and Peckham,London,Green,Green,"1,361",2.92%,,,,
2010,E14000615,Camberwell and Peckham,London,Eng Dem,Eng Dem,435,0.93%,,,,
2010,E14000615,Camberwell and Peckham,London,WRP,WRP,211,0.45%,,,,
2010,E14000615,Camberwell and Peckham,London,Soc Lab,Soc Lab,184,0.39%,,,,
2010,E14000615,Camberwell and Peckham,London,Ind,Independent,93,0.20%,,,,
2010,E14000615,Camberwell and Peckham,London,Ind,Independent,87,0.19%,,,,
2010,E14000615,Camberwell and Peckham,London,ND,ND,82,0.18%,,,,
2010,E14000615,Camberwell and Peckham,London,Workers Lib,Workers Lib,75,0.16%,,,,
2010,E14000621,Carshalton and Wallington,London,LD,Lib Dem,"22,180",48.30%,45918,LD,"5,260",11.46%
2010,E14000621,Carshalton and Wallington,London,C,Conservative,"16,920",36.85%,,,,
2010,E14000621,Carshalton and Wallington,London,Lab,Labour,"4,015",8.74%,,,,
2010,E14000621,Carshalton and Wallington,London,UKIP,UKIP,"1,348",2.94%,,,,
2010,E14000621,Carshalton and Wallington,London,BNP,BNP,"1,100",2.40%,,,,
2010,E14000621,Carshalton and Wallington,London,Green,Green,355,0.77%,,,,
2010,E14000629,Chelsea and Fulham,London,C,Conservative,24093,60.45%,39856,C,16722,41.96%
2010,E14000629,Chelsea and Fulham,London,Lab,Labour,7371,18.49%,,,,
